batter,runs,balls,strike_rate
 CK Kapugedera          ,16,24,66.66666666666666
 CK Langeveldt          ,8,9,88.88888888888889
 CL White               ,971,774,125.45219638242895
 CM Gautam              ,169,158,106.9620253164557
 CR Brathwaite          ,181,120,150.83333333333334
 CR Woakes              ,78,77,101.29870129870129
 CRD Fernando           ,4,3,133.33333333333331
 CV Varun               ,25,49,51.02040816326531
 D Brevis               ,230,176,130.6818181818182
 D Ferreira             ,8,11,72.72727272727273
 D Kalyankrishna        ,3,8,37.5
 D Padikkal             ,1559,1323,117.83824640967498
 D Pretorius            ,44,28,157.14285714285714
 D Salunkhe             ,33,24,137.5
 D Wiese                ,148,105,140.95238095238096
 D du Preez             ,10,13,76.92307692307693
 DA Miller              ,2924,2171,134.68447719944726
 DA Warner              ,6567,4849,135.4299855640338
 DAJ Bracewell          ,12,9,133.33333333333331
 DB Das                 ,304,267,113.85767790262172
 DB Ravi Teja           ,375,325,115.38461538461537
 DE Bollinger           ,21,23,91.30434782608695
 DG Nalkande            ,12,12,100.0
 DH Yagnik              ,170,142,119.71830985915493
 DJ Bravo               ,1560,1247,125.10024057738573
 DJ Harris              ,111,103,107.76699029126213
 DJ Hooda               ,1466,1170,125.2991452991453
 DJ Hussey              ,1322,1101,120.07266121707538
 DJ Jacobs              ,92,101,91.0891089108911
 DJ Malan               ,26,26,100.0
 DJ Mitchell            ,351,274,128.1021897810219
 DJ Muthuswami          ,1,3,33.33333333333333
 DJ Thornely            ,39,54,72.22222222222221
 DJ Willey              ,53,64,82.8125
 DJG Sammy              ,295,251,117.52988047808766
 DJM Short              ,115,102,112.74509803921569
 DL Chahar              ,80,61,131.14754098360655
 DL Vettori             ,121,118,102.54237288135593
 DM Bravo               ,6,5,120.0
 DNT Zoysa              ,11,9,122.22222222222223
 DP Conway              ,924,669,138.11659192825113
 DP Nannes              ,4,13,30.76923076923077
 DP Vijaykumar          ,1,1,100.0
 DPMD Jayawardene       ,1808,1522,118.7910643889619
 DR Martyn              ,19,26,73.07692307692307
 DR Sams                ,44,48,91.66666666666666
 DR Shorey              ,13,20,65.0
 DR Smith               ,2385,1803,132.27953410981698
